,accuracy,sensitivity,specificity,fn_rate,fp_rate,auc,tp,tn,fp,fn,run
15,0.9790273556231003,0.9784172661870504,0.9790542684861948,0.02158273381294964,0.020945731513805143,0.9975341846484729,136,3085,66,3,16
16,0.98419452887538,0.935251798561151,0.9863535385591876,0.06474820143884892,0.01364646144081244,0.9953514814298989,130,3108,43,9,17
17,0.9817629179331308,0.9496402877697842,0.9831799428752777,0.050359712230215826,0.01682005712472231,0.9963857539801229,132,3098,53,7,18
18,0.9732522796352584,0.9856115107913669,0.9727070771183751,0.014388489208633094,0.02729292288162488,0.995978209498412,137,3065,86,2,19
19,0.9914893617021276,0.9568345323741008,0.9930180894953983,0.04316546762589928,0.006981910504601714,0.9964359835520984,133,3129,22,6,20
20,0.9869300911854103,0.9640287769784173,0.9879403364011425,0.03597122302158273,0.012059663598857505,0.9972487893531572,134,3113,38,5,21
21,0.9799392097264438,0.9784172661870504,0.9800063471913678,0.02158273381294964,0.01999365280863218,0.9968035726924649,136,3088,63,3,22
22,0.9887537993920973,0.9064748201438849,0.9923833703586163,0.09352517985611511,0.007616629641383688,0.9972202498236258,126,3127,24,13,23
23,0.9875379939209726,0.9640287769784173,0.9885750555379245,0.03597122302158273,0.011424944462075532,0.9971163659361308,134,3115,36,5,24
24,0.9835866261398176,0.9712230215827338,0.9841320215804507,0.02877697841726619,0.015867978419549348,0.9967761747441146,135,3101,50,4,25
25,0.9693009118541034,0.9856115107913669,0.9685814027292923,0.014388489208633094,0.03141859727070771,0.9969679603825667,137,3052,99,2,26
26,0.9814589665653496,0.9496402877697842,0.9828625833068867,0.050359712230215826,0.0171374166931133,0.9956334519816707,132,3097,54,7,27
27,0.9887537993920973,0.8992805755395683,0.9927007299270073,0.10071942446043165,0.0072992700729927005,0.9954907543340129,125,3128,23,14,28
28,0.9869300911854103,0.9712230215827338,0.9876229768327515,0.02877697841726619,0.012377023167248492,0.9974245928550717,135,3112,39,4,29
29,0.9829787234042553,0.935251798561151,0.9850841002856237,0.06474820143884892,0.014915899714376388,0.9977807661836255,130,3104,47,9,30
30,0.9808510638297873,0.9784172661870504,0.9809584258965408,0.02158273381294964,0.01904157410345922,0.9980364803682285,136,3091,60,3,31
31,0.9875379939209726,0.9568345323741008,0.9888924151063154,0.04316546762589928,0.011107584893684545,0.9973401158476582,133,3116,35,6,32
32,0.9848024316109423,0.9784172661870504,0.9850841002856237,0.02158273381294964,0.014915899714376388,0.9976163784935239,136,3104,47,3,33
33,0.9887537993920973,0.9496402877697842,0.9904792129482703,0.050359712230215826,0.00952078705172961,0.9958012644153164,132,3121,30,7,34
34,0.9851063829787234,0.9856115107913669,0.9850841002856237,0.014388489208633094,0.014915899714376388,0.9940637778574347,137,3104,47,2,35
35,0.9787234042553191,0.9856115107913669,0.9784195493494129,0.014388489208633094,0.021580450650587116,0.9948937073762127,137,3083,68,2,36
36,0.9844984802431611,0.9568345323741008,0.9857188194224056,0.04316546762589928,0.014281180577594414,0.9954062773265995,133,3106,45,6,37
37,0.9905775075987842,0.9496402877697842,0.9923833703586163,0.050359712230215826,0.007616629641383688,0.9978309957556012,132,3127,24,7,38
38,0.9869300911854103,0.9424460431654677,0.9888924151063154,0.05755395683453238,0.011107584893684545,0.995973643173687,131,3116,35,8,39
39,0.9890577507598785,0.9640287769784173,0.9901618533798794,0.03597122302158273,0.009838146620120596,0.9962898611608967,134,3120,31,5,40
40,0.9854103343465046,0.9496402877697842,0.9869882576959695,0.050359712230215826,0.013011742304030467,0.995812680227129,132,3110,41,7,41
41,0.988145896656535,0.9496402877697842,0.9898444938114884,0.050359712230215826,0.010155506188511583,0.9979360212242774,132,3119,32,7,42
42,0.9890577507598785,0.9496402877697842,0.9907965725166614,0.050359712230215826,0.009203427483338623,0.9965569911573122,132,3122,29,7,43
43,0.9872340425531915,0.9568345323741008,0.9885750555379245,0.04316546762589928,0.011424944462075532,0.9955683818543388,133,3115,36,6,44
44,0.9838905775075988,0.9784172661870504,0.9841320215804507,0.02158273381294964,0.015867978419549348,0.9961620040685953,136,3101,50,3,45
45,0.988145896656535,0.9496402877697842,0.9898444938114884,0.050359712230215826,0.010155506188511583,0.9959222720205303,132,3119,32,7,46
46,0.9899696048632218,0.9712230215827338,0.9907965725166614,0.02877697841726619,0.009203427483338623,0.9970204731169048,135,3122,29,4,47
