,avg,std
152,223.28028151623658,148.37834019363103
153,240.32473144832696,157.60191620078135
154,257.3804173354735,164.63400534155457
155,275.3773305346339,169.2166013278383
156,293.7530559328312,171.355150181569
157,310.6765032720089,170.67352846878984
158,323.269169033214,166.58221447225293
159,328.03111495246327,159.20125363913007
160,323.47277441659463,149.53529644508245
161,309.8583775774787,138.27097095897315
162,289.45079639461665,125.64230981776491
163,266.2550932213854,112.0336636573735
164,243.61266823064577,98.28000493651881
165,223.06605753796765,85.54512030647952
166,205.19508581306334,74.78380393561022
167,189.51401407581182,66.33474915513764
168,175.36485985924188,59.9786014020082
169,162.2657118162736,55.38300031653369
170,149.68218298555377,52.13501702193195
171,137.44178293616497,49.78921528645679
172,125.73379429559205,47.81388329290738
173,114.86060007408322,45.881361659795644
174,105.25546363748612,43.47901277498306
175,97.23323867144092,40.770608898604486
176,90.94369675268551,37.68585966229417
177,86.12433633781949,34.70432104452353
178,82.49487591060625,32.207532786790246
179,80.08445487097173,30.204460757790095
180,78.70144462279293,28.692854904925706
181,78.10791455735276,27.673790964441604
182,78.31732312631189,27.207870928645946
183,79.53265835288308,27.177893044490837
184,81.54624027657735,27.52680659369374
185,84.4961106309421,28.358165181677034
186,88.64143721447093,30.080869586987866
187,94.1519940733424,33.51508441700403
188,101.57933078157797,39.42655969120521
189,111.24669712310161,46.84812847400875
190,123.79392517594765,54.64009584747586
191,140.25336461291516,63.873182493778025
192,162.04519076429187,74.95182587517482
193,189.118533152241,85.31468314953489
194,221.04482034819114,94.03209772818302
195,255.35090751944685,100.18424730430849
196,287.0939622175577,103.4852960875516
197,310.7710828497345,105.52223013621582
198,319.7326830472898,110.69081882598316
199,310.3502901592789,121.48931004097089
200,284.42289171502654,133.067399393374
201,248.10371650821088,138.44110340950147
202,209.3846153846154,134.79366868680776
203,175.56439066551425,124.13759356993356
204,149.25546363748612,112.0782354487613
205,131.6781084084455,101.5382843639865
206,122.09853068280034,93.5615154671254
207,118.71144585751327,86.23983923606168
208,120.22212618841833,78.05196868374124
209,125.2468205951352,71.65507749169555
210,132.89171502654648,69.42994920001425
211,142.7933078157797,70.87737419496015
212,154.88801086553894,74.86492707912778
213,169.64773428818373,80.58151104136341
214,187.68712186689714,87.81561684376463
215,209.17854056056302,96.55857391302298
216,232.5236448944314,106.21708512169754
217,252.91159402395357,115.17240934666383
218,266.5880972959625,123.22047447809186
219,269.0847018150389,127.70972084551236
220,261.9945672305223,130.5458104966289
221,248.16199530806273,133.1096779966132
222,230.76750216076059,135.38305863484237
223,213.54858624521546,138.11900598295384
224,199.07877515742683,140.57229514355703
225,188.61513767131746,139.8256385969796
226,182.03284356093346,134.11469203275615
227,179.2895419187554,124.52546103609743
228,179.88171379182614,116.43034197170171
229,183.44721570564266,111.93062040284285
230,189.0307445363625,110.76705324477236
231,196.07963946166194,112.88443699044417
232,204.0982837387332,117.94873005720291
233,212.63970860600074,125.2034061396317
234,221.53055932831214,132.63898756835857
235,230.6740338313372,137.45654296455947
236,239.94357328065192,143.06804376047333
237,249.08643042350909,149.3933592465682
238,258.0406222990493,154.86018597131252
239,266.50611186566243,158.14060976479203
240,274.10396345227804,155.83813697793764
241,280.82553401654525,148.91659469904064
242,286.6500802568218,143.9952918346907
243,292.4335103099148,147.22752480570685
244,298.1607605877269,155.4911065591993
245,303.5322879367823,160.32041487269862
246,308.2668230645759,159.4841474333678
247,312.06062476848996,158.22920463464826
248,315.0591431040869,159.51056092963387
249,317.16668724533895,160.36756342375216
250,318.0682800345722,161.2184771134444
251,317.5322879367823,163.0273203696243
252,315.3712804049883,161.3486141887573
253,311.54537597234224,157.13656794205107
254,306.2322508951722,157.8381570774847
255,299.7523151006297,163.84132007293329
256,291.93641190270404,171.47433299599257
257,282.47425608099763,177.20107975769082
258,271.1698975182121,176.37108850931352
259,258.2270650697617,172.2873218713631
260,244.19051734782073,167.9033226229814
261,228.94974688233114,162.22391671342368
262,212.53500432152117,152.24710908017698
263,195.23459686381034,138.46409106650415
264,177.37745400666748,127.78505590074793
265,159.51969378935672,122.80418241764683
266,141.7879985183356,117.7554545618945
267,124.5569823434992,110.16365742741995
268,108.03395480923571,104.37367787411935
269,92.74774663538709,99.79439268197316
270,78.73317693542413,92.2664094179031
271,65.84282010124707,79.37248403805779
272,54.423879491295224,65.82318113271134
273,44.51129769107297,57.87091079181082
274,36.11211260649463,54.70275298660282
275,28.923076923076923,51.83650949020652
276,22.93949870354365,45.14223362051906
277,17.90307445363625,37.11630125593908
278,13.746882331151994,29.976764078000087
279,10.645635263612792,29.22946115367247
280,8.087418199777751,30.81892138423458
281,6.102975676009384,26.16175362142296
282,4.6164958636868745,15.579337185776986
283,3.377824422768243,8.518436222789235
284,2.5374737621928634,6.319686223918054
285,2.0127176194591927,5.134319906711692
286,1.6320533399185084,4.184318571819857
287,1.406099518459069,3.346871401292203
288,1.2608964069638227,2.7219985206959594
289,1.1418693665884676,2.351661414520203
290,1.0943326336584764,2.219299610311066
291,1.096061242128658,2.088523203298341
292,1.158908507223114,2.0605863592961304
293,1.257192245956291,2.17386253015152
294,1.4138782565748858,2.3867012315603255
295,1.4185701938510926,2.560275883461964
296,1.7240400049388813,2.7984577052316655
297,2.0151870601308803,3.1248683289531027
298,2.450425978515866,3.4795514346308365
299,2.977651561921225,3.862479752354894
300,57.39989717018147,7.454350705144153
301,4.881218716378755,3.99996127905765
302,10.34097397948302,2.659293331316723
303,6.120589340641445,1.147807745921104
304,5.303211679901613,1.9497209636357116
305,15.33529793287934,4.528443117478429
306,78.76639091245833,3.9631904856229947
307,91.91048277565132,3.7970507984896
308,120.8488702308927,4.11600247511873
309,132.81911347079887,4.008972546176803
310,147.1961970613656,4.956624336593533
311,170.9745647610816,4.871617129463012
312,190.35819236942834,5.853775299916905
313,206.91159402395357,17.532509803998572
314,211.73922706506977,6.075798610213637
315,234.37004568465244,19.26217109001502
316,223.7841708852945,11.61372968571807
317,263.26213112729965,5.82421951693499
318,40.83825163600444,5.865139841026763
319,1.6130509939498703,0.46964334243765365
320,1.039082602790468,0.4568418821405169
321,1.6984973453512782,1.017091056603676
322,13.000998888751697,32.451858374078
323,11.627834300530928,4.171043212858224
324,2.5925719224595625,1.984126428488149
325,1.0932967032967034,1.7500566966090716
